model_label,q,n_display,rel,leader_share,counts,chosen_role,n
gemma4_31B_dense,3,99,0.2,0.46464646464646464,"[46, 27, 26]",1,2
gemma4_31B_dense,3,99,0.25,0.494949494949495,"[49, 25, 25]",0,148
gemma4_31B_dense,3,99,0.25,0.494949494949495,"[49, 25, 25]",1,2
gemma4_31B_dense,3,99,0.4,0.5959595959595959,"[59, 20, 20]",0,149
gemma4_31B_dense,3,99,0.4,0.5959595959595959,"[59, 20, 20]",1,1
gemma4_31B_dense,3,99,0.6,0.7171717171717171,"[71, 14, 14]",0,150
gemma4_31B_dense,3,99,0.8,0.8484848484848485,"[84, 8, 7]",0,150
gemma4_31B_dense,3,99,1.0,0.9797979797979798,"[97, 1, 1]",0,150
gemma4_31B_dense,3,199,0.0,0.33668341708542715,"[67, 66, 66]",0,46
gemma4_31B_dense,3,199,0.0,0.33668341708542715,"[67, 66, 66]",2,41
gemma4_31B_dense,3,199,0.0,0.33668341708542715,"[67, 66, 66]",1,63
gemma4_31B_dense,3,199,0.03,0.35678391959798994,"[71, 64, 64]",1,30
gemma4_31B_dense,3,199,0.03,0.35678391959798994,"[71, 64, 64]",2,32
gemma4_31B_dense,3,199,0.03,0.35678391959798994,"[71, 64, 64]",0,88
gemma4_31B_dense,3,199,0.06,0.3768844221105528,"[75, 62, 62]",2,21
gemma4_31B_dense,3,199,0.06,0.3768844221105528,"[75, 62, 62]",0,110
gemma4_31B_dense,3,199,0.06,0.3768844221105528,"[75, 62, 62]",1,19
gemma4_31B_dense,3,199,0.1,0.4020100502512563,"[80, 60, 59]",0,133
gemma4_31B_dense,3,199,0.1,0.4020100502512563,"[80, 60, 59]",1,6
gemma4_31B_dense,3,199,0.1,0.4020100502512563,"[80, 60, 59]",2,11
gemma4_31B_dense,3,199,0.15,0.4321608040201005,"[86, 57, 56]",0,147
gemma4_31B_dense,3,199,0.15,0.4321608040201005,"[86, 57, 56]",2,3
gemma4_31B_dense,3,199,0.2,0.46733668341708545,"[93, 53, 53]",0,148
gemma4_31B_dense,3,199,0.2,0.46733668341708545,"[93, 53, 53]",2,2
gemma4_31B_dense,3,199,0.25,0.5025125628140703,"[100, 50, 49]",0,148
gemma4_31B_dense,3,199,0.25,0.5025125628140703,"[100, 50, 49]",2,1
gemma4_31B_dense,3,199,0.25,0.5025125628140703,"[100, 50, 49]",1,1
gemma4_31B_dense,3,199,0.4,0.5979899497487438,"[119, 40, 40]",0,150
gemma4_31B_dense,3,199,0.6,0.7286432160804021,"[145, 27, 27]",0,150
gemma4_31B_dense,3,199,0.8,0.8592964824120602,"[171, 14, 14]",0,150
gemma4_31B_dense,3,199,1.0,0.9899497487437185,"[197, 1, 1]",0,150
gemma4_31B_dense,3,399,0.0,0.3333333333333333,"[133, 133, 133]",2,50
gemma4_31B_dense,3,399,0.0,0.3333333333333333,"[133, 133, 133]",0,47
gemma4_31B_dense,3,399,0.0,0.3333333333333333,"[133, 133, 133]",1,53
gemma4_31B_dense,3,399,0.03,0.3533834586466165,"[141, 129, 129]",2,35
gemma4_31B_dense,3,399,0.03,0.3533834586466165,"[141, 129, 129]",1,29
gemma4_31B_dense,3,399,0.03,0.3533834586466165,"[141, 129, 129]",0,86
gemma4_31B_dense,3,399,0.06,0.37343358395989973,"[149, 125, 125]",0,107
gemma4_31B_dense,3,399,0.06,0.37343358395989973,"[149, 125, 125]",1,20
gemma4_31B_dense,3,399,0.06,0.37343358395989973,"[149, 125, 125]",2,23
gemma4_31B_dense,3,399,0.1,0.39849624060150374,"[159, 120, 120]",0,138
gemma4_31B_dense,3,399,0.1,0.39849624060150374,"[159, 120, 120]",2,5
gemma4_31B_dense,3,399,0.1,0.39849624060150374,"[159, 120, 120]",1,7
gemma4_31B_dense,3,399,0.15,0.43358395989974935,"[173, 113, 113]",0,148
gemma4_31B_dense,3,399,0.15,0.43358395989974935,"[173, 113, 113]",1,2
gemma4_31B_dense,3,399,0.2,0.46616541353383456,"[186, 107, 106]",0,150
gemma4_31B_dense,3,399,0.25,0.49874686716791977,"[199, 100, 100]",0,150
gemma4_31B_dense,3,399,0.4,0.5989974937343359,"[239, 80, 80]",0,150
gemma4_31B_dense,3,399,0.6,0.7293233082706767,"[291, 54, 54]",0,150
gemma4_31B_dense,3,399,0.8,0.8621553884711779,"[344, 28, 27]",0,150
gemma4_31B_dense,3,399,1.0,0.9949874686716792,"[397, 1, 1]",0,150
gemma4_31B_dense,3,799,0.0,0.3341677096370463,"[267, 266, 266]",1,54
gemma4_31B_dense,3,799,0.0,0.3341677096370463,"[267, 266, 266]",2,44
gemma4_31B_dense,3,799,0.0,0.3341677096370463,"[267, 266, 266]",0,52
gemma4_31B_dense,3,799,0.03,0.3541927409261577,"[283, 258, 258]",2,34
gemma4_31B_dense,3,799,0.03,0.3541927409261577,"[283, 258, 258]",0,89
gemma4_31B_dense,3,799,0.03,0.3541927409261577,"[283, 258, 258]",1,27
gemma4_31B_dense,3,799,0.06,0.3742177722152691,"[299, 250, 250]",0,109
gemma4_31B_dense,3,799,0.06,0.3742177722152691,"[299, 250, 250]",1,20
gemma4_31B_dense,3,799,0.06,0.3742177722152691,"[299, 250, 250]",2,21
gemma4_31B_dense,3,799,0.1,0.4005006257822278,"[320, 240, 239]",0,137
gemma4_31B_dense,3,799,0.1,0.4005006257822278,"[320, 240, 239]",2,8
gemma4_31B_dense,3,799,0.1,0.4005006257822278,"[320, 240, 239]",1,5
