model_label,q,n_display,rel,leader_share,shares_options,chosen_display,valid,n
gemma4_E4B_it,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",aa,True,60
gemma4_E4B_it,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",ab,True,14
gemma4_E4B_it,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",aa,True,7
gemma4_E4B_it,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",ab,True,63
gemma4_E4B_it,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",aa,True,77
gemma4_E4B_it,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",ab,True,3
gemma4_E4B_it,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",aa,True,4
gemma4_E4B_it,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",ab,True,67
gemma4_E4B_it,2,49,0.4,0.6938775510204082,"[0.6938775510204082, 0.30612244897959184]",aa,True,79
gemma4_E4B_it,2,49,0.6,0.7959183673469388,"[0.20408163265306123, 0.7959183673469388]",ab,True,81
gemma4_E4B_it,2,49,0.6,0.7959183673469388,"[0.7959183673469388, 0.20408163265306123]",aa,True,69
gemma4_E4B_it,2,49,0.8,0.8775510204081632,"[0.12244897959183673, 0.8775510204081632]",ab,True,72
gemma4_E4B_it,2,49,0.8,0.8775510204081632,"[0.8775510204081632, 0.12244897959183673]",aa,True,78
gemma4_E4B_it,2,49,1.0,0.9795918367346939,"[0.02040816326530612, 0.9795918367346939]",ab,True,75
gemma4_E4B_it,2,49,1.0,0.9795918367346939,"[0.9795918367346939, 0.02040816326530612]",aa,True,75
llama31_8b_it,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",aa,True,37
llama31_8b_it,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",ab,True,29
llama31_8b_it,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",aa,True,41
llama31_8b_it,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",ab,True,43
llama31_8b_it,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",aa,True,38
llama31_8b_it,2,49,0.1,0.5510204081632653,"[0.4489795918367347, 0.5510204081632653]",ab,True,44
llama31_8b_it,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",aa,True,44
llama31_8b_it,2,49,0.1,0.5510204081632653,"[0.5510204081632653, 0.4489795918367347]",ab,True,24
llama31_8b_it,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",aa,True,26
llama31_8b_it,2,49,0.25,0.6326530612244898,"[0.3673469387755102, 0.6326530612244898]",ab,True,45
llama31_8b_it,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",aa,True,65
llama31_8b_it,2,49,0.25,0.6326530612244898,"[0.6326530612244898, 0.3673469387755102]",ab,True,14
llama31_8b_it,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",aa,True,12
llama31_8b_it,2,49,0.4,0.6938775510204082,"[0.30612244897959184, 0.6938775510204082]",ab,True,58
llama31_8b_it,2,49,0.4,0.6938775510204082,"[0.6938775510204082, 0.30612244897959184]",aa,True,72
llama31_8b_it,2,49,0.4,0.6938775510204082,"[0.6938775510204082, 0.30612244897959184]",ab,True,8
llama31_8b_it,2,49,0.6,0.7959183673469388,"[0.20408163265306123, 0.7959183673469388]",aa,True,4
llama31_8b_it,2,49,0.6,0.7959183673469388,"[0.20408163265306123, 0.7959183673469388]",ab,True,57
llama31_8b_it,2,49,0.6,0.7959183673469388,"[0.7959183673469388, 0.20408163265306123]",aa,True,80
llama31_8b_it,2,49,0.6,0.7959183673469388,"[0.7959183673469388, 0.20408163265306123]",ab,True,9
llama31_8b_it,2,49,0.8,0.8775510204081632,"[0.12244897959183673, 0.8775510204081632]",aa,True,5
llama31_8b_it,2,49,0.8,0.8775510204081632,"[0.12244897959183673, 0.8775510204081632]",ab,True,61
llama31_8b_it,2,49,0.8,0.8775510204081632,"[0.8775510204081632, 0.12244897959183673]",aa,True,76
llama31_8b_it,2,49,0.8,0.8775510204081632,"[0.8775510204081632, 0.12244897959183673]",ab,True,8
llama31_8b_it,2,49,1.0,0.9795918367346939,"[0.02040816326530612, 0.9795918367346939]",ab,True,63
llama31_8b_it,2,49,1.0,0.9795918367346939,"[0.9795918367346939, 0.02040816326530612]",aa,True,9
llama31_8b_it,2,49,1.0,0.9795918367346939,"[0.9795918367346939, 0.02040816326530612]",ab,True,78
llama3_70b_awq,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",aa,True,43
llama3_70b_awq,2,49,0.0,0.5102040816326531,"[0.4897959183673469, 0.5102040816326531]",ab,True,23
llama3_70b_awq,2,49,0.0,0.5102040816326531,"[0.5102040816326531, 0.4897959183673469]",aa,True,58
