model_label,q,n_display,n_valid,design_points,beta_m1,beta_ci_lo,beta_ci_hi,p_leader_smallest_lead,n_informative_points,beta_is_lower_bound,beta_c,beta_over_beta_c,rmse
qwen25_32b_it,50,799,1650,11,13.401327765150228,12.209299274015946,14.93350454189561,0.16,10,False,3.9728998876545973,3.373185366888695,0.2044275186424742
qwen25_32b_it,100,199,1650,11,29.599401791232502,27.539759819486733,31.800430378889185,0.14,9,False,4.642008828197187,6.376420831308069,0.1459363848308189
qwen25_32b_it,100,399,1650,11,21.62608568343585,19.361945147668372,24.394960434823435,0.18,10,False,4.642008828197187,4.6587773707088695,0.2286974158836294
qwen25_32b_it,100,799,1650,11,19.940531382692168,18.044157433913817,22.629118700356752,0.3,10,False,4.642008828197187,4.295668560896825,0.2567401329913391
qwen25_7b_it,2,24,1050,7,2.4529271445702987,2.184543150556878,2.836289788479561,0.62,5,False,1.0,2.4529271445702987,0.0187150027992561
qwen25_7b_it,2,49,1050,7,2.3927690709891185,2.149472707621005,2.676939376860755,0.5333333333333333,5,False,1.0,2.3927690709891185,0.041968311755143
qwen25_7b_it,2,99,1050,7,1.9931205130132557,1.7666137589655426,2.2986071999285067,0.62,5,False,1.0,1.9931205130132557,0.0325053631309083
qwen25_7b_it,2,199,1050,7,1.8156429223663524,1.6244412480951462,2.0581437954703197,0.6333333333333333,5,False,1.0,1.8156429223663524,0.0316642488059119
qwen25_7b_it,2,399,1050,7,1.8838312733876506,1.6737707605936925,2.152094289500425,0.58,5,False,1.0,1.8838312733876506,0.0300977779477866
qwen25_7b_it,2,799,1050,7,2.1075676602061857,1.868915801103302,2.4003029391563797,0.6,5,False,1.0,2.1075676602061857,0.0401018294510141
qwen25_7b_it,3,24,1350,9,5.218860979254986,4.770085483982078,5.86962508621292,0.5666666666666667,6,False,1.3862943611198906,3.764612426930044,0.0333368509099629
qwen25_7b_it,3,49,1650,11,4.626232673852641,4.161591673541771,5.142541724034771,0.5333333333333333,9,False,1.3862943611198906,3.3371214682828474,0.0481567042648111
qwen25_7b_it,3,99,1650,11,4.293202425010778,3.9345642066963453,4.854014858139705,0.35333333333333333,9,False,1.3862943611198906,3.0968909240477607,0.031593554782809
qwen25_7b_it,3,199,1650,11,4.5289433421299705,4.162930771276137,5.123086756921313,0.42,9,False,1.3862943611198906,3.2669420500789985,0.0342912722010645
qwen25_7b_it,3,399,1650,11,5.903904450743883,5.190049862061631,6.629834664817123,0.4866666666666667,9,False,1.3862943611198906,4.25876683648524,0.045052526462259
qwen25_7b_it,3,799,1650,11,4.506083002617496,4.146669476325091,4.9906824296422645,0.4,9,False,1.3862943611198906,3.2504518008551555,0.0229756462391834
qwen25_7b_it,5,24,1350,9,8.1121367810312,7.461158793462194,9.04491518531358,0.4266666666666667,6,False,1.8483924814931874,4.388752314377502,0.0503930500506481
qwen25_7b_it,5,49,1650,11,8.173062692613541,7.425830719900794,9.091193393506662,0.28,8,False,1.8483924814931874,4.421713880815559,0.029992318695945
qwen25_7b_it,5,99,1650,11,8.01655672539188,7.359423560100519,8.755686460278481,0.26,7,False,1.8483924814931874,4.337042487272975,0.0309472195562479
qwen25_7b_it,5,199,1650,11,9.48744887642034,8.656606658699179,10.56011511837749,0.32,6,False,1.8483924814931874,5.132810791762197,0.023762135264422
qwen25_7b_it,5,399,1650,11,11.251675538033009,10.232924430207085,12.191304714269013,0.35333333333333333,5,False,1.8483924814931874,6.087276187654456,0.0148725592170167
qwen25_7b_it,5,799,1650,11,7.839514642133925,7.064219490118352,8.622587764036373,0.25333333333333335,9,False,1.8483924814931874,4.241260836443637,0.0247288329480008
qwen25_7b_it,10,24,1200,8,12.724064302658812,11.906738340071527,13.753893227628572,0.47333333333333333,4,False,2.471877649503247,5.14752997795658,0.0358892876878676
qwen25_7b_it,10,49,1650,11,13.30068283580157,12.485961348484997,14.24635375866416,0.18666666666666668,6,False,2.471877649503247,5.38080144803061,0.0204235410237568
qwen25_7b_it,10,99,1650,11,12.815386151031026,11.975223652142398,13.698720245970184,0.16,6,False,2.471877649503247,5.184474301795006,0.0431198136034487
qwen25_7b_it,10,199,1650,11,14.06946670953467,12.715191215295658,15.695490169678568,0.25333333333333335,6,False,2.471877649503247,5.691813554106165,0.0261924444238688
qwen25_7b_it,10,399,1650,11,15.859650316368924,14.054051373649884,18.394543365440317,0.21333333333333335,6,False,2.471877649503247,6.416033706019434,0.0355172016388643
qwen25_7b_it,10,799,1650,11,13.371481668340293,12.226702824547514,14.46056951927795,0.2733333333333333,6,False,2.471877649503247,5.409443170064445,0.0315878494486203
qwen25_7b_it,25,49,1500,10,16.063800251613507,15.158371286203735,17.221753601189427,0.07333333333333333,7,False,3.3162300838413348,4.8439944893709255,0.0231595555081364
qwen25_7b_it,25,99,1650,11,19.802934378303075,18.6039121040738,21.31164629736294,0.14,7,False,3.3162300838413348,5.9715200325800275,0.0316722579957149
qwen25_7b_it,25,199,1650,11,21.385687703853158,19.810934334474982,23.153863369076102,0.16666666666666666,6,False,3.3162300838413348,6.448794915665555,0.0391023769651903
qwen25_7b_it,25,399,1650,11,19.608110589872194,17.166016504938774,23.531382116716674,0.24666666666666667,7,False,3.3162300838413348,5.912771458595315,0.0998412378972486
qwen25_7b_it,25,799,1650,11,20.331456840788217,18.628225725756685,22.09436253246604,0.19333333333333333,7,False,3.3162300838413348,6.130894517800586,0.0516077214935093
qwen25_7b_it,50,99,1650,11,22.498175975597192,21.047329323143114,23.95121691007902,0.013333333333333334,8,False,3.9728998876545973,5.662910370711354,0.0717312347058501
qwen25_7b_it,50,199,1650,11,23.022871046331698,21.471945987004478,24.885565063140348,0.08666666666666667,7,False,3.9728998876545973,5.7949789064338235,0.0813569199081044
qwen25_7b_it,50,399,1650,11,21.545318583108397,18.97791944530059,25.65488367949938,0.21333333333333335,10,False,3.9728998876545973,5.423071104826576,0.1696750750024871
qwen25_7b_it,50,799,1650,11,17.2354691262926,15.18164790245552,19.964785141488296,0.22,9,False,3.9728998876545973,4.33825910888169,0.1986058101421526
qwen25_7b_it,100,199,1650,11,37.149593820111086,34.68123607528682,40.345158482753035,0.08666666666666667,8,False,4.642008828197187,8.002913220339316,0.0947191652063756
