model_label,q,n_display,rel,leader_share,n_valid,k_leader,p_leader,rest_share,lead,beta_eff,beta_eff_ci_lo,beta_eff_ci_hi,at_boundary
gemma4_31B_dense,2,99,0.1,0.5555555555555556,150,115,0.7666666666666667,0.4444444444444444,0.11111111111111116,5.30882025066215,3.616229785134568,7.0014107161897305,False
gemma4_31B_dense,2,99,0.25,0.6262626262626263,150,126,0.84,0.3737373737373737,0.2525252525252526,3.250306997421448,2.3937003696262806,4.106913625216615,False
gemma4_31B_dense,2,99,0.4,0.696969696969697,150,130,0.8666666666666667,0.303030303030303,0.39393939393939403,2.3492805861694883,1.7582595342460883,2.9403016380928886,False
gemma4_31B_dense,2,99,0.6,0.797979797979798,150,144,0.96,0.202020202020202,0.595959595959596,2.6020869130037174,1.9427503947138844,3.26142343129355,False
gemma4_31B_dense,2,99,0.8,0.8888888888888888,150,150,1.0,0.11111111111111116,0.7777777777777777,3.6688565987671318,1.883989982683649,5.453723214850614,True
gemma4_31B_dense,2,99,1.0,0.98989898989899,150,150,1.0,0.010101010101010055,0.9797979797979799,2.912391320670815,1.4955384398622777,4.329244201479352,True
gemma4_31B_dense,2,199,0.1,0.5527638190954773,150,119,0.7933333333333333,0.44723618090452266,0.10552763819095468,6.317438959106093,4.4574554167516345,8.177422501460551,False
gemma4_31B_dense,2,199,0.25,0.6231155778894473,150,133,0.8866666666666667,0.37688442211055273,0.24623115577889454,4.126002232502613,3.114162128566397,5.13784233643883,False
gemma4_31B_dense,2,199,0.4,0.6984924623115578,150,142,0.9466666666666667,0.3015075376884422,0.39698492462311563,3.5508600721916115,2.679247191890951,4.422472952492272,False
gemma4_31B_dense,2,199,0.6,0.7989949748743719,150,148,0.9866666666666667,0.20100502512562812,0.5979899497487438,3.4150191220476955,2.3698479242480097,4.460190319847381,False
gemma4_31B_dense,2,199,0.8,0.8944723618090452,150,150,1.0,0.10552763819095479,0.7889447236180904,3.6169265690605905,1.8573234578048994,5.376529680316281,True
gemma4_31B_dense,2,199,1.0,0.9949748743718592,150,150,1.0,0.005025125628140836,0.9899497487437183,2.882525235241182,1.4802019435297933,4.28484852695257,True
gemma4_31B_dense,2,399,0.1,0.5513784461152882,150,138,0.92,0.4486215538847118,0.10275689223057638,11.703067449345568,8.886477046820874,14.519657851870262,False
gemma4_31B_dense,2,399,0.25,0.6265664160401002,150,147,0.98,0.3734335839598998,0.25313283208020043,7.389529790626328,5.29572572425799,9.483333856994667,False
gemma4_31B_dense,2,399,0.4,0.6992481203007519,150,147,0.98,0.3007518796992481,0.3984962406015038,4.693978043102257,3.363951560692181,6.024004525512334,False
gemma4_31B_dense,2,399,0.6,0.7994987468671679,150,148,0.9866666666666667,0.20050125313283207,0.5989974937343359,3.409274887700987,2.365861720552969,4.452688054849005,False
gemma4_31B_dense,2,399,0.8,0.8972431077694235,150,150,1.0,0.10275689223057649,0.794486215538847,3.5916987312851734,1.8443687422486617,5.339028720321685,True
gemma4_31B_dense,2,399,1.0,0.9974937343358397,150,150,1.0,0.0025062656641603454,0.9949874686716793,2.8679307249808557,1.4727075347426337,4.263153915219077,True
gemma4_31B_dense,2,799,0.1,0.5506883604505632,150,149,0.9933333333333333,0.44931163954943676,0.10137672090112648,22.696686398106987,14.764186340682734,30.629186455531244,False
gemma4_31B_dense,2,799,0.25,0.6257822277847309,150,150,1.0,0.3742177722152691,0.25156445556946183,11.343236570980965,5.824851284217605,16.861621857744325,True
gemma4_31B_dense,2,799,0.4,0.6996245306633292,150,150,1.0,0.3003754693366708,0.3992490613266584,7.147305801777974,3.6702041007139137,10.624407502842033,True
gemma4_31B_dense,2,799,0.6,0.799749687108886,150,150,1.0,0.20025031289111395,0.5994993742177721,4.759896765693474,2.4442486599744027,7.075544871412546,True
gemma4_31B_dense,2,799,0.8,0.8986232790988736,150,150,1.0,0.10137672090112637,0.7972465581977473,3.5792630310316698,1.8379829012994324,5.320543160763907,True
gemma4_31B_dense,2,799,1.0,0.9987484355444304,150,150,1.0,0.0012515644555696204,0.9974968710888608,2.860715872982653,1.469002645078719,4.252429100886587,True
gemma4_31B_dense,3,24,0.06,0.375,150,105,0.7,0.3125,0.0625,12.273166460153295,9.49215611859238,15.05417680171421,False
gemma4_31B_dense,3,24,0.15,0.4166666666666667,150,140,0.9333333333333333,0.29166666666666663,0.12500000000000006,13.147917648681066,10.639662429063684,15.656172868298446,False
gemma4_31B_dense,3,24,0.2,0.4583333333333333,150,148,0.9866666666666667,0.27083333333333337,0.18749999999999994,12.739843751809461,9.406500434203762,16.07318706941516,False
gemma4_31B_dense,3,24,0.25,0.5,150,147,0.98,0.25,0.25,8.868424775688903,6.748382563125471,10.988466988252334,False
gemma4_31B_dense,3,24,0.4,0.5833333333333334,150,150,1.0,0.20833333333333331,0.37500000000000006,8.533676593745087,4.831731019646013,12.235622167844161,True
gemma4_31B_dense,3,24,0.6,0.6666666666666666,150,150,1.0,0.16666666666666669,0.49999999999999994,6.400257445308817,3.6237982647345106,9.176716625883124,True
gemma4_31B_dense,3,24,0.8,0.7916666666666666,150,150,1.0,0.10416666666666669,0.6875,4.654732687497321,2.635489647079644,6.673975727914998,True
gemma4_31B_dense,3,24,1.0,0.9166666666666666,150,150,1.0,0.041666666666666685,0.875,3.6572899687478952,2.070741865562577,5.2438380719332125,True
gemma4_31B_dense,3,49,0.03,0.3673469387755102,150,103,0.6866666666666666,0.3163265306122449,0.05102040816326531,14.42549300580278,11.059186619600398,17.79179939200516,False
gemma4_31B_dense,3,49,0.06,0.3877551020408163,150,124,0.8266666666666667,0.30612244897959184,0.08163265306122447,13.721887501269258,11.153603624498047,16.29017137804047,False
gemma4_31B_dense,3,49,0.1,0.4081632653061224,150,137,0.9133333333333333,0.29591836734693877,0.11224489795918363,13.426362654444295,10.936188584387205,15.916536724501384,False
gemma4_31B_dense,3,49,0.15,0.4489795918367347,150,145,0.9666666666666667,0.2755102040816326,0.17346938775510207,11.438834327748255,8.98481000851084,13.892858646985669,False
gemma4_31B_dense,3,49,0.2,0.4693877551020408,150,148,0.9866666666666667,0.2653061224489796,0.20408163265306117,11.704731446974941,8.642222273924705,14.767240620025177,False
gemma4_31B_dense,3,49,0.25,0.4897959183673469,150,149,0.9933333333333333,0.25510204081632654,0.2346938775510204,11.280606295601885,7.8541392195919935,14.707073371611777,False
gemma4_31B_dense,3,49,0.4,0.5918367346938775,150,150,1.0,0.20408163265306123,0.3877551020408163,8.252963547898212,4.672792499262921,11.8331345965335,True
gemma4_31B_dense,3,49,0.6,0.7142857142857143,150,150,1.0,0.14285714285714285,0.5714285714285714,5.600225264645214,3.170823481642697,8.029627047647732,True
gemma4_31B_dense,3,49,0.8,0.8367346938775511,150,150,1.0,0.08163265306122447,0.7551020408163266,4.238008308380162,2.3995420942160943,6.076474522544229,True
gemma4_31B_dense,3,49,1.0,0.9591836734693876,150,150,1.0,0.0204081632653062,0.9387755102040813,3.4088327697840444,1.9300664670868592,4.88759907248123,True
gemma4_31B_dense,3,99,0.03,0.3535353535353535,150,83,0.5533333333333333,0.32323232323232326,0.03030303030303022,14.946792539881516,9.653408969729185,20.240176110033843,False
gemma4_31B_dense,3,99,0.06,0.3737373737373737,150,96,0.64,0.31313131313131315,0.06060606060606055,10.432038269694429,7.692126450820398,13.171950088568462,False
gemma4_31B_dense,3,99,0.1,0.3939393939393939,150,127,0.8466666666666667,0.30303030303030304,0.09090909090909088,13.113447182045723,10.693431328947877,15.53346303514357,False
gemma4_31B_dense,3,99,0.15,0.4343434343434343,150,143,0.9533333333333334,0.2828282828282829,0.15151515151515144,12.02711134421728,9.604398718193986,14.449823970240576,False
gemma4_31B_dense,3,99,0.2,0.4646464646464646,150,145,0.9666666666666667,0.26767676767676774,0.19696969696969685,10.074075444060872,7.912838955690085,12.235311932431658,False
gemma4_31B_dense,3,99,0.25,0.494949494949495,150,148,0.9866666666666667,0.2525252525252525,0.2424242424242425,9.853472901790125,7.2753401795794685,12.431605624000781,False
gemma4_31B_dense,3,99,0.4,0.5959595959595959,150,149,0.9933333333333333,0.20202020202020204,0.39393939393939387,6.720549590550888,4.679192831766345,8.761906349335431,False
gemma4_31B_dense,3,99,0.6,0.7171717171717171,150,150,1.0,0.14141414141414144,0.5757575757575757,5.558118307768183,3.1469827035852327,7.969253911951133,True
gemma4_31B_dense,3,99,0.8,0.8484848484848485,150,150,1.0,0.07575757575757575,0.7727272727272727,4.1413430528468815,2.3448106418870363,5.937875463806726,True
gemma4_31B_dense,3,99,1.0,0.9797979797979798,150,150,1.0,0.01010101010101011,0.9696969696969697,3.3001327452373586,1.8685209802537317,4.7317445102209845,True
gemma4_31B_dense,3,199,0.03,0.3567839195979899,150,88,0.5866666666666667,0.3216080402010051,0.0351758793969848,14.796832285033135,10.193652453606589,19.40001211645968,False
gemma4_31B_dense,3,199,0.06,0.3768844221105528,150,110,0.7333333333333333,0.31155778894472363,0.06532663316582915,12.987510952063328,10.231914462472718,15.743107441653938,False
gemma4_31B_dense,3,199,0.1,0.4020100502512563,150,133,0.8866666666666667,0.2989949748743719,0.10301507537688442,13.226451407724033,10.807906769047221,15.644996046400843,False
gemma4_31B_dense,3,199,0.15,0.4321608040201005,150,147,0.98,0.28391959798994976,0.14824120603015073,14.956072291204169,11.38074686493194,18.5313977174764,False
gemma4_31B_dense,3,199,0.2,0.4673366834170854,150,148,0.9866666666666667,0.26633165829145733,0.20100502512562807,11.883885499734763,8.774501186280697,14.99326981318883,False
gemma4_31B_dense,3,199,0.25,0.5025125628140703,150,148,0.9866666666666667,0.24874371859296485,0.25376884422110546,9.412978613651298,6.950099949529265,11.87585727777333,False
gemma4_31B_dense,3,199,0.4,0.5979899497487438,150,150,1.0,0.20100502512562812,0.39698492462311563,8.061083744407938,4.5641509790010595,11.558016509814816,True
gemma4_31B_dense,3,199,0.6,0.7286432160804021,150,150,1.0,0.13567839195979897,0.5929648241206031,5.396827252612094,3.0556604011956243,7.737994104028563,True
gemma4_31B_dense,3,199,0.8,0.8592964824120602,150,150,1.0,0.07035175879396988,0.7889447236180904,4.056214113428199,2.296611002172508,5.815817224683889,True
gemma4_31B_dense,3,199,1.0,0.9899497487437184,150,150,1.0,0.005025125628140781,0.9849246231155777,3.249110284735854,1.8396322823524685,4.658588287119239,True
gemma4_31B_dense,3,399,0.03,0.3533834586466165,150,86,0.5733333333333334,0.32330827067669177,0.030075187969924755,16.4026634128219,11.042003104630217,21.763323721013585,False
gemma4_31B_dense,3,399,0.06,0.3734335839598997,150,107,0.7133333333333334,0.31328320802005016,0.06015037593984951,13.282353310899538,10.354648120178584,16.210058501620495,False
gemma4_31B_dense,3,399,0.1,0.3984962406015037,150,138,0.92,0.30075187969924816,0.09774436090225552,15.848939178073792,12.887908242086292,18.80997011406129,False
gemma4_31B_dense,3,399,0.15,0.4335839598997493,150,148,0.9866666666666667,0.28320802005012535,0.15037593984962394,15.88499267803743,11.728730228897822,20.04125512717704,False
gemma4_31B_dense,3,399,0.2,0.4661654135338345,150,150,1.0,0.2669172932330828,0.19924812030075173,16.061023400491948,9.093682437918684,23.02836436306521,True
gemma4_31B_dense,3,399,0.25,0.4987468671679197,150,150,1.0,0.25062656641604014,0.24812030075187957,12.897488488273833,7.302502563783183,18.492474412764484,True
gemma4_31B_dense,3,399,0.4,0.5989974937343359,150,150,1.0,0.20050125313283207,0.3984962406015038,8.030511700245967,4.5468412189593375,11.514182181532595,True
gemma4_31B_dense,3,399,0.6,0.7293233082706767,150,150,1.0,0.13533834586466165,0.5939849624060151,5.387558482443497,3.050412463352467,7.724704501534527,True
gemma4_31B_dense,3,399,0.8,0.8621553884711779,150,150,1.0,0.06892230576441105,0.7932330827067668,4.034285498701766,2.2841951147378667,5.784375882665665,True
gemma4_31B_dense,3,399,1.0,0.9949874686716792,150,150,1.0,0.002506265664160401,0.9924812030075187,3.224372122068457,1.825625640945795,4.623118603191118,True
gemma4_31B_dense,3,799,0.03,0.3541927409261577,150,89,0.5933333333333334,0.32290362953692114,0.03128911138923657,17.072211123831952,11.88454228671455,22.259879960949352,False
gemma4_31B_dense,3,799,0.06,0.3742177722152691,150,109,0.7266666666666667,0.31289111389236546,0.06132665832290363,13.561625140421416,10.648667691694952,16.474582589147882,False
gemma4_31B_dense,3,799,0.1,0.4005006257822278,150,137,0.9133333333333333,0.2997496871088861,0.10075093867334167,14.95808104574862,12.183820695674878,17.732341395822363,False
gemma4_31B_dense,3,799,0.15,0.4330413016270338,150,149,0.9933333333333333,0.2834793491864831,0.1495619524405507,17.70162256803653,12.324781524928873,23.078463611144187,False
gemma4_31B_dense,3,799,0.2,0.4668335419274093,150,150,1.0,0.2665832290362954,0.2002503128911139,15.980642808755452,9.04817129225898,22.91311432525192,True
gemma4_31B_dense,3,799,0.25,0.5006257822277848,150,150,1.0,0.24968710888610762,0.25093867334167713,12.752632665341006,7.220485819259036,18.284779511422975,True
gemma4_31B_dense,3,799,0.4,0.5994993742177722,150,150,1.0,0.2002503128911139,0.3992490613266583,8.015369433858533,4.5382677327944725,11.492471134922594,True
gemma4_31B_dense,3,799,0.6,0.7321652065081352,150,150,1.0,0.1339173967459324,0.5982478097622028,5.3491691410060085,3.028676583182922,7.669661698829094,True
gemma4_31B_dense,3,799,0.8,0.8648310387984981,150,150,1.0,0.06758448060075095,0.7972465581977471,4.013976215699956,2.272696085967719,5.755256345432194,True
gemma4_31B_dense,3,799,1.0,0.9974968710888612,150,150,1.0,0.0012515644555693983,0.9962453066332918,3.2121895092975774,1.8187278979415031,4.6056511206536515,True
gemma4_31B_dense,5,24,0.06,0.25,150,107,0.7133333333333334,0.1875,0.0625,18.328194164743756,15.510553078937129,21.145835250550384,False
gemma4_31B_dense,5,24,0.15,0.2916666666666667,150,147,0.98,0.17708333333333331,0.11458333333333337,22.37393266212827,17.748386016535328,26.99947930772121,False
gemma4_31B_dense,5,24,0.2,0.3333333333333333,150,150,1.0,0.16666666666666669,0.16666666666666663,21.28021387760629,12.950836335883372,29.60959141932921,True
gemma4_31B_dense,5,24,0.25,0.375,150,150,1.0,0.15625,0.21875,16.21349628770003,9.867303874958756,22.559688700441296,True
gemma4_31B_dense,5,24,0.4,0.4583333333333333,150,150,1.0,0.13541666666666669,0.32291666666666663,10.983336194893567,6.684302624972061,15.282369764815074,True
gemma4_31B_dense,5,24,0.6,0.5833333333333334,150,150,1.0,0.10416666666666666,0.47916666666666674,7.401813522645663,4.504638725524649,10.298988319766677,True
gemma4_31B_dense,5,24,0.8,0.7083333333333334,150,150,1.0,0.07291666666666666,0.6354166666666667,5.5816954433065655,3.3969406782644898,7.766450208348642,True
gemma4_31B_dense,5,24,1.0,0.8333333333333334,150,150,1.0,0.04166666666666666,0.7916666666666667,4.480045026864481,2.726491860185972,6.233598193542989,True
gemma4_31B_dense,5,49,0.03,0.2244897959183673,150,70,0.4666666666666667,0.19387755102040818,0.030612244897959107,20.476281479722118,15.254401669488361,25.698161289955873,False
gemma4_31B_dense,5,49,0.06,0.2448979591836734,150,115,0.7666666666666667,0.18877551020408165,0.05612244897959176,22.861014097348768,19.510026913071936,26.212001281625604,False
gemma4_31B_dense,5,49,0.1,0.2857142857142857,150,148,0.9866666666666667,0.17857142857142858,0.10714285714285712,25.529413408279634,19.69606260246966,31.362764214089605,False
gemma4_31B_dense,5,49,0.15,0.3061224489795918,150,149,0.9933333333333333,0.17346938775510207,0.13265306122448972,22.570627434329293,16.508416453696405,28.632838414962183,False
gemma4_31B_dense,5,49,0.2,0.3469387755102041,150,150,1.0,0.163265306122449,0.18367346938775508,19.309823703753853,11.751684823301575,26.86796258420613,True
gemma4_31B_dense,5,49,0.25,0.3877551020408163,150,150,1.0,0.15306122448979592,0.2346938775510204,15.112035942068232,9.196970731279494,21.02710115285697,True
gemma4_31B_dense,5,49,0.4,0.4897959183673469,150,150,1.0,0.12755102040816327,0.3622448979591837,9.790896525847023,5.958600755476855,13.62319229621719,True
gemma4_31B_dense,5,49,0.6,0.6326530612244898,150,150,1.0,0.09183673469387754,0.5408163265306123,6.558053333350364,3.991138241876006,9.124968424824722,True
gemma4_31B_dense,5,49,0.8,0.7755102040816326,150,150,1.0,0.056122448979591844,0.7193877551020408,4.930167754149919,3.000430167651466,6.859905340648374,True
gemma4_31B_dense,5,49,1.0,0.9183673469387756,150,150,1.0,0.02040816326530609,0.8979591836734695,3.9497366666769236,2.40375371385714,5.4957196194967075,True
gemma4_31B_dense,5,99,0.03,0.2222222222222222,150,60,0.4,0.19444444444444445,0.027777777777777762,17.704581758114514,11.845695415096522,23.56346810113251,False
gemma4_31B_dense,5,99,0.06,0.2424242424242424,150,89,0.5933333333333334,0.1893939393939394,0.05303030303030301,16.608389080689015,13.547543888039733,19.669234273338297,False
gemma4_31B_dense,5,99,0.1,0.2828282828282828,150,141,0.94,0.17929292929292928,0.10353535353535354,19.738679301466934,16.566294533492627,22.911064069441238,False
gemma4_31B_dense,5,99,0.15,0.3131313131313131,150,149,0.9933333333333333,0.1717171717171717,0.14141414141414138,21.17230139065728,15.485664705471768,26.858938075842797,False
gemma4_31B_dense,5,99,0.2,0.3535353535353535,150,150,1.0,0.16161616161616163,0.19191919191919185,18.48018573581599,11.24677892326714,25.713592548364844,True
gemma4_31B_dense,5,99,0.25,0.3939393939393939,150,150,1.0,0.15151515151515152,0.2424242424242424,14.630147040854322,8.903699980919816,20.35659410078883,True
gemma4_31B_dense,5,99,0.4,0.5050505050505051,150,150,1.0,0.12373737373737373,0.3813131313131314,9.30128553590738,5.6606304514457095,12.941940620369053,True
gemma4_31B_dense,5,99,0.6,0.6565656565656566,150,150,1.0,0.08585858585858586,0.5707070707070707,6.214575734168207,3.7821026467623993,8.647048821574014,True
gemma4_31B_dense,5,99,0.8,0.8080808080808081,150,150,1.0,0.04797979797979798,0.76010101010101,4.666093408378787,2.839718266339875,6.4924685504176995,True
gemma4_31B_dense,5,99,1.0,0.9595959595959596,150,150,1.0,0.01010101010101011,0.9494949494949494,3.7353566912819547,2.2732851015114424,5.197428281052467,True
gemma4_31B_dense,5,199,0.03,0.2261306532663316,150,63,0.42,0.1934673366834171,0.03266331658291452,16.31333840441069,11.367232854741758,21.25944395407962,False
gemma4_31B_dense,5,199,0.06,0.2462311557788944,150,96,0.64,0.1884422110552764,0.05778894472361801,16.937812908318758,14.064334900645859,19.811290915991655,False
gemma4_31B_dense,5,199,0.1,0.2814070351758794,150,143,0.9533333333333334,0.17964824120603015,0.10175879396984924,21.31376663653538,17.706435453754718,24.92109781931604,False
gemma4_31B_dense,5,199,0.15,0.3165829145728643,150,149,0.9933333333333333,0.17085427135678394,0.14572864321608037,20.545465577976728,15.02718978385383,26.063741372099628,False
gemma4_31B_dense,5,199,0.2,0.3567839195979899,150,150,1.0,0.16080402010050254,0.19597989949748734,18.097275904460055,11.013745430943553,25.180806377976555,True
gemma4_31B_dense,5,199,0.25,0.3969849246231156,150,150,1.0,0.1507537688442211,0.24623115577889448,14.403954291304935,8.766042281771394,20.04186630083847,True
gemma4_31B_dense,5,199,0.4,0.5125628140703518,150,150,1.0,0.12185929648241206,0.3907035175879397,9.077733251111791,5.524579701695156,12.630886800528428,True
gemma4_31B_dense,5,199,0.6,0.6683417085427136,150,150,1.0,0.0829145728643216,0.585427135678392,6.058315538832118,3.6870049082128613,8.429626169451375,True
gemma4_31B_dense,5,199,0.8,0.8241206030150754,150,150,1.0,0.04396984924623115,0.7801507537688442,4.546175589526195,2.7667379826524856,6.325613196399905,True
gemma4_31B_dense,5,199,1.0,0.9798994974874372,150,150,1.0,0.0050251256281406975,0.9748743718592965,3.638112166360525,2.214103462921641,5.062120869799409,True
gemma4_31B_dense,5,399,0.03,0.2230576441102756,150,63,0.42,0.1942355889724311,0.0288220551378445,18.487499738623214,12.882201620612983,24.09279785663344,False
gemma4_31B_dense,5,399,0.06,0.2481203007518796,150,110,0.7333333333333333,0.1879699248120301,0.06015037593984951,19.8669407349608,16.874210627861444,22.859670842060158,False
gemma4_31B_dense,5,399,0.1,0.2807017543859649,150,146,0.9733333333333334,0.17982456140350878,0.10087719298245612,24.13450577301235,19.485110271385047,28.783901274639657,False
gemma4_31B_dense,5,399,0.15,0.3182957393483709,150,150,1.0,0.17042606516290726,0.14786967418546365,23.985325811200305,14.597129090444813,33.3735225319558,True
gemma4_31B_dense,5,399,0.2,0.3583959899749373,150,150,1.0,0.16040100250626566,0.19799498746867167,17.91309142861795,10.90165337134486,24.92452948589104,True
gemma4_31B_dense,5,399,0.25,0.3984962406015037,150,150,1.0,0.15037593984962408,0.2481203007518796,14.294285079402208,8.699299154911559,19.889271003892855,True
gemma4_31B_dense,5,399,0.4,0.5162907268170426,150,150,1.0,0.12092731829573936,0.39536340852130325,8.970739923047974,5.459465079786016,12.482014766309934,True
gemma4_31B_dense,5,399,0.6,0.6741854636591479,150,150,1.0,0.08145363408521303,0.5927318295739349,5.9836542192846425,3.6415670881025113,8.325741350466773,True
gemma4_31B_dense,5,399,0.8,0.8320802005012531,150,150,1.0,0.04197994987468673,0.7901002506265664,4.4889269559423255,2.7318972762450247,6.245956635639626,True
gemma4_31B_dense,5,399,1.0,0.9899749373433584,150,150,1.0,0.002506265664160401,0.987468671679198,3.5917112255350707,2.185864508467624,4.997557942602517,True
gemma4_31B_dense,5,799,0.03,0.2240300375469336,150,64,0.4266666666666667,0.1939924906132666,0.030037546933667003,18.190819200334285,12.823441272708772,23.558197127959797,False
gemma4_31B_dense,5,799,0.06,0.2478097622027534,150,108,0.72,0.18804755944931165,0.05976220275344174,19.439882995579676,16.472465734343256,22.407300256816093,False
gemma4_31B_dense,5,799,0.1,0.2803504380475594,150,147,0.98,0.17991239048811014,0.10043804755944924,25.524986262648696,20.247996456299216,30.801976068998176,False
gemma4_31B_dense,5,799,0.15,0.3191489361702128,150,150,1.0,0.1702127659574468,0.14893617021276598,23.81357267255941,14.492602566345672,33.13454277877315,True
gemma4_31B_dense,5,799,0.2,0.3591989987484355,150,150,1.0,0.16020025031289112,0.1989987484355444,17.82273678009164,10.846664813805884,24.798808746377397,True
gemma4_31B_dense,5,799,0.25,0.3992490613266583,150,150,1.0,0.1501877346683354,0.24906132665832292,14.24027712580186,8.666430680377562,19.814123571226155,True
gemma4_31B_dense,5,799,0.4,0.5181476846057572,150,150,1.0,0.1204630788485607,0.39768460575719655,8.918379694837355,5.427599387553532,12.40916000212118,True
gemma4_31B_dense,5,799,0.6,0.6770963704630788,150,150,1.0,0.0807259073842303,0.5963704630788484,5.947146165864787,3.61934880460679,8.274943527122783,True
gemma4_31B_dense,5,799,0.8,0.8360450563204005,150,150,1.0,0.04098873591989988,0.7950563204005006,4.460944743068982,2.714867698378804,6.207021787759159,True
gemma4_31B_dense,5,799,1.0,0.9949937421777222,150,150,1.0,0.0012515644555694538,0.9937421777221527,3.5690367103709955,2.1720651201450067,4.966008300596984,True
gemma4_31B_dense,10,24,0.06,0.1666666666666666,149,118,0.7919463087248322,0.0925925925925926,0.074074074074074,23.774512446538797,21.12240556971879,26.4266193233588,False
gemma4_31B_dense,10,24,0.15,0.2083333333333333,150,149,0.9933333333333333,0.08796296296296297,0.12037037037037032,28.24223204239807,21.561428104557745,34.923035980238396,False
gemma4_31B_dense,10,24,0.25,0.25,150,150,1.0,0.08333333333333333,0.16666666666666669,23.71300452625527,15.383626984532349,32.04238206797819,True
gemma4_31B_dense,10,24,0.4,0.3333333333333333,150,150,1.0,0.07407407407407408,0.25925925925925924,15.24407433830696,9.88947449005651,20.59867418655741,True
gemma4_31B_dense,10,24,0.6,0.4166666666666667,150,150,1.0,0.06481481481481481,0.35185185185185186,11.23247582822618,7.2869812031995345,15.177970453252826,True
gemma4_31B_dense,10,24,0.8,0.5416666666666666,150,150,1.0,0.05092592592592593,0.4907407407407407,8.05347323533198,5.224628032482685,10.882318438181272,True
gemma4_31B_dense,10,24,1.0,0.625,150,150,1.0,0.041666666666666664,0.5833333333333334,6.775144150358648,4.395321995580671,9.154966305136625,True
gemma4_31B_dense,10,49,0.03,0.1224489795918367,150,53,0.35333333333333333,0.09750566893424037,0.024943310657596335,32.013670421652826,25.32898068380925,38.6983601594964,False
gemma4_31B_dense,10,49,0.06,0.1428571428571428,150,112,0.7466666666666667,0.09523809523809525,0.04761904761904755,34.32995535571309,30.487337308789158,38.17257340263702,False
gemma4_31B_dense,10,49,0.1,0.1632653061224489,150,143,0.9533333333333334,0.09297052154195012,0.07029478458049879,36.621896081761186,31.39992018696024,41.84387197656213,False
gemma4_31B_dense,10,49,0.15,0.2040816326530612,150,150,1.0,0.08843537414965986,0.11564625850340134,34.17462417019143,22.170521242414274,46.178727097968576,True
gemma4_31B_dense,10,49,0.2,0.2448979591836734,150,150,1.0,0.08390022675736962,0.16099773242630377,24.547969474362862,15.925303991029976,33.170634957695746,True
gemma4_31B_dense,10,49,0.25,0.2857142857142857,150,150,1.0,0.07936507936507936,0.20634920634920634,19.15281134812926,12.42523717981459,25.880385516443923,True
gemma4_31B_dense,10,49,0.4,0.3877551020408163,150,150,1.0,0.06802721088435375,0.31972789115646255,12.361034274324558,8.019124704703035,16.70294384394608,True
gemma4_31B_dense,10,49,0.6,0.5306122448979592,150,150,1.0,0.05215419501133786,0.47845804988662133,8.260217216491764,5.358751579920036,11.161682853063493,True
gemma4_31B_dense,10,49,0.8,0.673469387755102,150,150,1.0,0.036281179138321996,0.63718820861678,6.202511860070329,4.023831257520028,8.38119246262063,True
gemma4_31B_dense,10,49,1.0,0.8163265306122449,150,150,1.0,0.02040816326530612,0.7959183673469388,4.965543682848326,3.2213577873593384,6.709729578337313,True
